,age,height,weight,overall_rating,potential,total_attack,total_skill,total_movement,total_power,total_mentality,total_defending,total_goalkeeping,player_fifa_api_id,player_name
3902,20.0,180.34,170,73.0,84.0,290.0,313.0,372.0,365.0,369.0,229.0,149.0,187954,Airton
3900,21.0,180.34,170,76.0,85.0,328.0,320.0,365.0,376.0,352.0,225.0,57.0,187954,Airton
3899,21.0,180.34,170,75.0,83.0,316.0,320.0,329.0,393.0,332.0,223.0,57.0,187954,Airton
3898,22.0,180.34,170,72.0,78.0,302.0,306.0,322.0,386.0,319.0,211.0,57.0,187954,Airton
3897,22.0,180.34,170,72.0,78.0,314.0,304.0,318.0,386.0,318.0,215.0,57.0,187954,Airton
3895,23.0,180.34,170,72.0,78.0,314.0,304.0,316.0,386.0,318.0,212.0,57.0,187954,Airton
3901,20.0,180.34,170,76.0,85.0,325.0,321.0,363.0,374.0,352.0,224.0,57.0,187954,Airton
3893,23.0,180.34,170,72.0,78.0,314.0,304.0,316.0,386.0,318.0,212.0,57.0,187954,Airton
3884,24.0,180.34,170,71.0,76.0,311.0,300.0,304.0,367.0,316.0,212.0,57.0,187954,Airton
3885,24.0,180.34,170,71.0,76.0,311.0,300.0,304.0,367.0,316.0,212.0,57.0,187954,Airton
3887,23.0,180.34,170,71.0,78.0,314.0,304.0,311.0,379.0,316.0,212.0,57.0,187954,Airton
3888,23.0,180.34,170,71.0,78.0,314.0,304.0,311.0,379.0,318.0,212.0,57.0,187954,Airton
3886,24.0,180.34,170,71.0,76.0,311.0,300.0,304.0,373.0,316.0,212.0,57.0,187954,Airton
3889,23.0,180.34,170,71.0,78.0,314.0,304.0,311.0,379.0,318.0,212.0,57.0,187954,Airton
3890,23.0,180.34,170,71.0,78.0,314.0,304.0,311.0,379.0,318.0,212.0,57.0,187954,Airton
3891,23.0,180.34,170,71.0,78.0,314.0,304.0,311.0,379.0,318.0,212.0,57.0,187954,Airton
3892,23.0,180.34,170,71.0,78.0,314.0,304.0,311.0,386.0,318.0,212.0,57.0,187954,Airton
3894,23.0,180.34,170,72.0,78.0,314.0,304.0,316.0,386.0,318.0,212.0,57.0,187954,Airton
3914,22.0,193.04,198,67.0,76.0,201.0,219.0,315.0,261.0,284.0,192.0,48.0,188132,Aislan
3919,19.0,193.04,198,64.0,66.0,193.0,212.0,315.0,272.0,248.0,184.0,125.0,188132,Aislan
3918,20.0,193.04,198,64.0,66.0,193.0,212.0,315.0,272.0,248.0,184.0,125.0,188132,Aislan
3917,21.0,193.04,198,64.0,69.0,193.0,212.0,315.0,272.0,248.0,184.0,125.0,188132,Aislan
3916,21.0,193.04,198,66.0,73.0,201.0,212.0,315.0,272.0,248.0,188.0,125.0,188132,Aislan
3913,23.0,193.04,198,67.0,72.0,203.0,219.0,315.0,261.0,286.0,193.0,48.0,188132,Aislan
